diagnosis,risk_category,patient_count,avg_age,avg_length_of_stay,avg_total_cost,avg_previous_admissions,readmission_rate
COPD,Low,19,52.6,5.95,7674.63,0.53,21.05
COPD,Medium,69,52.9,7.39,9059.56,2.48,55.07
COPD,High,112,54.5,8.41,9859.84,4.07,73.21
Diabetes,Low,18,47.7,7.28,8902.78,0.28,33.33
Diabetes,Medium,71,51.7,7.17,8983.88,1.68,33.8
Diabetes,High,113,59.9,7.81,10157.35,3.92,81.42
Heart Disease,Low,26,46.2,5.12,7209.48,0.58,19.23
Heart Disease,Medium,68,52.8,7.88,9637.46,1.85,44.12
Heart Disease,High,101,57.4,8.32,10298.27,3.89,85.15
Hypertension,Low,17,55.1,6.59,8041.79,0.53,29.41
Hypertension,Medium,75,49.2,7.4,9588.76,2.03,45.33
Hypertension,High,115,53.7,8.36,10449.6,4.1,78.26
Kidney Disease,Low,16,49.8,7.19,9405.64,0.5,18.75
Kidney Disease,Medium,68,50.5,7.94,9786.64,2.07,44.12
Kidney Disease,High,112,56.4,7.41,8985.57,3.89,81.25
